ID,Length,Year,LWL,Beam,Draft,Displacement,SailArea,GDP,GDP/Capita,Price
Boat0001,39.00 ,2008.00 ,38.75 ,21.25 ,3.92 ,19621.00 ,796.00 ,2777.00 ,41344.00 ,218645.00 
Boat0002,39.00 ,2012.00 ,38.75 ,21.25 ,3.92 ,19621.00 ,796.00 ,912.00 ,53765.00 ,229578.00 
Boat0003,44.00 ,2010.00 ,43.67 ,24.25 ,3.92 ,28000.00 ,1227.00 ,1000.00 ,47682.00 ,525000.00 
Boat0004,44.00 ,2010.00 ,43.67 ,24.25 ,3.92 ,28000.00 ,1227.00 ,1000.00 ,47682.00 ,495000.00 
Boat0005,44.00 ,2012.00 ,43.67 ,24.25 ,3.92 ,28000.00 ,1227.00 ,1000.00 ,47682.00 ,749000.00 
Boat0006,44.00 ,2018.00 ,42.08 ,22.42 ,4.08 ,24250.00 ,1140.00 ,3120.00 ,78973.00 ,910000.00 
Boat0007,40.00 ,2015.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,2777.00 ,41344.00 ,425604.00 
Boat0008,40.00 ,2015.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,2777.00 ,41344.00 ,425144.00 
Boat0009,42.00 ,2015.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,1394.00 ,29352.00 ,455973.00 
Boat0010,43.00 ,2015.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,851.00 ,10361.00 ,519000.00 
Boat0011,43.00 ,2015.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,1394.00 ,29352.00 ,455449.00 
Boat0012,43.00 ,2015.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,1000.00 ,47682.00 ,449000.00 
Boat0013,44.60 ,2015.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,2777.00 ,41344.00 ,510689.00 
Boat0014,44.60 ,2015.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,209.00 ,18694.00 ,455973.00 
Boat0015,44.60 ,2015.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,209.00 ,18694.00 ,455627.00 
Boat0016,44.60 ,2015.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,209.00 ,18694.00 ,454706.00 
Boat0017,40.00 ,2016.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,0.80 ,7189.00 ,314361.00 
Boat0018,40.00 ,2016.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,209.00 ,18694.00 ,395204.00 
Boat0019,40.00 ,2016.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,209.00 ,18694.00 ,357702.00 
Boat0020,40.00 ,2016.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,209.00 ,18694.00 ,348995.00 
Boat0021,41.00 ,2016.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,209.00 ,18694.00 ,388650.00 
Boat0022,41.00 ,2016.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,209.00 ,18694.00 ,388400.00 
